Question,Answer
What is the main threat posed by powerful quantum computers to current encryption methods?,"Powerful quantum computers can solve problems like factoring and the discrete logarithm problem in polynomial time using the Shor algorithm, thereby threatening asymmetric encryption methods."
Which asymmetric cryptographic algorithms are identified as insecure due to the capabilities of quantum computers?,"RSA, ECDSA, DH, and ECDH are identified as insecure due to the capabilities of quantum computers."
What are the requirements for RSA 4096 encryption to remain secure against quantum attacks?,It requires a quantum computer with a minimum of 1 million qubits to break RSA 4096 encryption.
What does the Grover algorithm do that affects symmetric encryption methods?,"Grover's algorithm significantly accelerates the search time for finding keys, effectively cutting the effort for a brute-force attack by half."
What is the implication of Grover's algorithm on the required key length for symmetric encryption?,"As a consequence of Grover's algorithm, key lengths of greater than 256 bits are necessary to ensure security against quantum attacks."
What is PQC and why is it necessary?,"PQC stands for post-quantum cryptography, and it is necessary to develop new encryption methods that can withstand attacks from quantum computers."
What was the purpose of the NIST selection process initiated in 2016 regarding PQC candidates?,The purpose was to evaluate and select post-quantum cryptography (PQC) candidates for standardization.
Which four PQC methods were selected for standardization by NIST in 2022?,"The four methods selected were CRYSTALS-KYBER (for encryption and key exchange), CRYSTALS-DILITHIUM (digital signature), FALCON (digital signature), and SPHINCS+ (digital signature based on hash)."
What type of cryptography do CRYSTALS-KYBER and CRYSTALS-DILITHIUM utilize?,Both CRYSTALS-KYBER and CRYSTALS-DILITHIUM are lattice-based cryptographic methods.
What future expectation does the BSI have regarding quantum computers?,The BSI expects sufficiently large quantum computers to be available starting in the 2030s.
What recommendation does the BSI give for cryptographic methods in light of potential quantum threats?,"The BSI recommends using hybrid methods, which combine PQC with classical algorithms."
What is meant by 'cryptoagility' in the context of cryptographic design?,Cryptoagility refers to the need for more flexible cryptographic designs that can adapt to emerging threats and changes in technology.
Why are companies with long-life products implementing PQC already?,These companies are implementing PQC to protect their products against future quantum threats.
